"time_period","nation","variable","value"
0,"Argentina","frac_area_cropland_calculated_bevs_and_spices",0.0936
1,"Argentina","frac_area_cropland_calculated_bevs_and_spices",0.393038733528984
2,"Argentina","frac_area_cropland_calculated_bevs_and_spices",0.12340622267456
3,"Argentina","frac_area_cropland_calculated_bevs_and_spices",0.201171326611954
4,"Argentina","frac_area_cropland_calculated_bevs_and_spices",0.169532293376744
5,"Argentina","frac_area_cropland_calculated_bevs_and_spices",0.17671884578892
6,"Argentina","frac_area_cropland_calculated_bevs_and_spices",0.167415660888768
7,"Argentina","frac_area_cropland_calculated_bevs_and_spices",0.161762885592372
8,"Argentina","frac_area_cropland_calculated_bevs_and_spices",0.151781301348054
0,"Argentina","frac_area_cropland_calculated_cereals",0.2082
1,"Argentina","frac_area_cropland_calculated_cereals",0.0683081475135501
2,"Argentina","frac_area_cropland_calculated_cereals",0.193976807584892
3,"Argentina","frac_area_cropland_calculated_cereals",0.162459586808033
4,"Argentina","frac_area_cropland_calculated_cereals",0.1827350205702
5,"Argentina","frac_area_cropland_calculated_cereals",0.18900979725314
6,"Argentina","frac_area_cropland_calculated_cereals",0.205951948223823
7,"Argentina","frac_area_cropland_calculated_cereals",0.226430614904609
8,"Argentina","frac_area_cropland_calculated_cereals",0.254788443368325
0,"Argentina","frac_area_cropland_calculated_coffee",0.1453
1,"Argentina","frac_area_cropland_calculated_coffee",0.641332828956962
2,"Argentina","frac_area_cropland_calculated_coffee",0.203927115415754
3,"Argentina","frac_area_cropland_calculated_coffee",0.33714286654088
4,"Argentina","frac_area_cropland_calculated_coffee",0.291812538979669
5,"Argentina","frac_area_cropland_calculated_coffee",0.309216179134746
6,"Argentina","frac_area_cropland_calculated_coffee",0.30041146534267
7,"Argentina","frac_area_cropland_calculated_coffee",0.296978227794656
8,"Argentina","frac_area_cropland_calculated_coffee",0.286278619855673
0,"Argentina","frac_area_cropland_calculated_fibers",0.0432
1,"Argentina","frac_area_cropland_calculated_fibers",0.161122560794692
2,"Argentina","frac_area_cropland_calculated_fibers",0.0495303831633208
3,"Argentina","frac_area_cropland_calculated_fibers",0.0778979194556919
4,"Argentina","frac_area_cropland_calculated_fibers",0.0618232888991233
5,"Argentina","frac_area_cropland_calculated_fibers",0.0621193383667043
6,"Argentina","frac_area_cropland_calculated_fibers",0.0555479536196101
7,"Argentina","frac_area_cropland_calculated_fibers",0.0509715919615334
8,"Argentina","frac_area_cropland_calculated_fibers",0.0449513781457153
0,"Argentina","frac_area_cropland_calculated_fruits",0.1126
1,"Argentina","frac_area_cropland_calculated_fruits",-0.131389549443836
2,"Argentina","frac_area_cropland_calculated_fruits",0.0878090156053267
3,"Argentina","frac_area_cropland_calculated_fruits",0.021980780062726
4,"Argentina","frac_area_cropland_calculated_fruits",0.0447507122713581
5,"Argentina","frac_area_cropland_calculated_fruits",0.0341963443913898
6,"Argentina","frac_area_cropland_calculated_fruits",0.0356710775317681
7,"Argentina","frac_area_cropland_calculated_fruits",0.0319831842235693
8,"Argentina","frac_area_cropland_calculated_fruits",0.0293383938703067
0,"Argentina","frac_area_cropland_calculated_maize",0.0648
1,"Argentina","frac_area_cropland_calculated_maize",0.243969000143469
2,"Argentina","frac_area_cropland_calculated_maize",0.0778870370291357
3,"Argentina","frac_area_cropland_calculated_maize",0.125659935281318
4,"Argentina","frac_area_cropland_calculated_maize",0.107313731910514
5,"Argentina","frac_area_cropland_calculated_maize",0.115787611502055
6,"Argentina","frac_area_cropland_calculated_maize",0.116038197684616
7,"Argentina","frac_area_cropland_calculated_maize",0.122327258396631
8,"Argentina","frac_area_cropland_calculated_maize",0.1300330487447
0,"Argentina","frac_area_cropland_calculated_nuts",0.0793
1,"Argentina","frac_area_cropland_calculated_nuts",-0.0931380073306469
2,"Argentina","frac_area_cropland_calculated_nuts",0.061619857962646
3,"Argentina","frac_area_cropland_calculated_nuts",0.0150296799650437
4,"Argentina","frac_area_cropland_calculated_nuts",0.0310201087354429
5,"Argentina","frac_area_cropland_calculated_nuts",0.0234933427279862
6,"Argentina","frac_area_cropland_calculated_nuts",0.0244649627958675
7,"Argentina","frac_area_cropland_calculated_nuts",0.0218123792396537
8,"Argentina","frac_area_cropland_calculated_nuts",0.0199165647714753
0,"Argentina","frac_area_cropland_calculated_oil_bearing",0.1049
1,"Argentina","frac_area_cropland_calculated_oil_bearing",-0.119757221244599
2,"Argentina","frac_area_cropland_calculated_oil_bearing",0.0827895691304963
3,"Argentina","frac_area_cropland_calculated_oil_bearing",0.022487102697046
4,"Argentina","frac_area_cropland_calculated_oil_bearing",0.0439303828260862
5,"Argentina","frac_area_cropland_calculated_oil_bearing",0.0345399043152562
6,"Argentina","frac_area_cropland_calculated_oil_bearing",0.0362484638839183
7,"Argentina","frac_area_cropland_calculated_oil_bearing",0.0330983574726388
8,"Argentina","frac_area_cropland_calculated_oil_bearing",0.0308261007741189
0,"Argentina","frac_area_cropland_calculated_pulses",0.0482
1,"Argentina","frac_area_cropland_calculated_pulses",-0.0539706335531649
2,"Argentina","frac_area_cropland_calculated_pulses",0.0384447715298688
3,"Argentina","frac_area_cropland_calculated_pulses",0.0111563659346458
4,"Argentina","frac_area_cropland_calculated_pulses",0.0211195282737907
5,"Argentina","frac_area_cropland_calculated_pulses",0.017000545631095
6,"Argentina","frac_area_cropland_calculated_pulses",0.0179446139415508
7,"Argentina","frac_area_cropland_calculated_pulses",0.0166383123379711
8,"Argentina","frac_area_cropland_calculated_pulses",0.0157004145360022
0,"Argentina","frac_area_cropland_calculated_rice",0.0333
1,"Argentina","frac_area_cropland_calculated_rice",-0.0357360130764697
2,"Argentina","frac_area_cropland_calculated_rice",0.0271777640803123
3,"Argentina","frac_area_cropland_calculated_rice",0.00896603738396896
4,"Argentina","frac_area_cropland_calculated_rice",0.0160527712975721
5,"Argentina","frac_area_cropland_calculated_rice",0.0135399198427179
6,"Argentina","frac_area_cropland_calculated_rice",0.0144864971835735
7,"Argentina","frac_area_cropland_calculated_rice",0.0138583553057447
8,"Argentina","frac_area_cropland_calculated_rice",0.0134422390475616
0,"Argentina","frac_area_cropland_calculated_tubers",0.0416
1,"Argentina","frac_area_cropland_calculated_tubers",-0.0463308452946085
2,"Argentina","frac_area_cropland_calculated_tubers",0.0332776524004008
3,"Argentina","frac_area_cropland_calculated_tubers",0.00982663187611786
4,"Argentina","frac_area_cropland_calculated_tubers",0.0184542702128798
5,"Argentina","frac_area_cropland_calculated_tubers",0.0149484406927383
6,"Argentina","frac_area_cropland_calculated_tubers",0.0158046273511026
7,"Argentina","frac_area_cropland_calculated_tubers",0.0147146888444667
8,"Argentina","frac_area_cropland_calculated_tubers",0.0139349189125242
0,"Argentina","frac_area_cropland_calculated_vegetables",0.025
1,"Argentina","frac_area_cropland_calculated_vegetables",-0.0274490009943326
2,"Argentina","frac_area_cropland_calculated_vegetables",0.0201538034232859
3,"Argentina","frac_area_cropland_calculated_vegetables",0.00622176738257504
4,"Argentina","frac_area_cropland_calculated_vegetables",0.0114553526466203
5,"Argentina","frac_area_cropland_calculated_vegetables",0.0094297303532516
6,"Argentina","frac_area_cropland_calculated_vegetables",0.0100145315527316
7,"Argentina","frac_area_cropland_calculated_vegetables",0.00942414392615411
8,"Argentina","frac_area_cropland_calculated_vegetables",0.00900857662554396
0,"Argentina","net_imports_agrc_bevs_and_spices_tonne",0
1,"Argentina","net_imports_agrc_bevs_and_spices_tonne",-54977
2,"Argentina","net_imports_agrc_bevs_and_spices_tonne",76103
3,"Argentina","net_imports_agrc_bevs_and_spices_tonne",-310794
4,"Argentina","net_imports_agrc_bevs_and_spices_tonne",-144217
5,"Argentina","net_imports_agrc_bevs_and_spices_tonne",-224654
6,"Argentina","net_imports_agrc_bevs_and_spices_tonne",-225035
7,"Argentina","net_imports_agrc_bevs_and_spices_tonne",-278498
8,"Argentina","net_imports_agrc_bevs_and_spices_tonne",-334579
0,"Argentina","net_imports_agrc_cereals_tonne",0
1,"Argentina","net_imports_agrc_cereals_tonne",1082536
2,"Argentina","net_imports_agrc_cereals_tonne",-808555
3,"Argentina","net_imports_agrc_cereals_tonne",-302452
4,"Argentina","net_imports_agrc_cereals_tonne",-495346
5,"Argentina","net_imports_agrc_cereals_tonne",-516072
6,"Argentina","net_imports_agrc_cereals_tonne",-698723
7,"Argentina","net_imports_agrc_cereals_tonne",-951459
8,"Argentina","net_imports_agrc_cereals_tonne",-1400083
0,"Argentina","net_imports_agrc_coffee_tonne",0
1,"Argentina","net_imports_agrc_coffee_tonne",-55814
2,"Argentina","net_imports_agrc_coffee_tonne",60418
3,"Argentina","net_imports_agrc_coffee_tonne",-267432
4,"Argentina","net_imports_agrc_coffee_tonne",-132893
5,"Argentina","net_imports_agrc_coffee_tonne",-204166
6,"Argentina","net_imports_agrc_coffee_tonne",-212452
7,"Argentina","net_imports_agrc_coffee_tonne",-266962
8,"Argentina","net_imports_agrc_coffee_tonne",-329673
0,"Argentina","net_imports_agrc_fibers_tonne",0
1,"Argentina","net_imports_agrc_fibers_tonne",-3487
2,"Argentina","net_imports_agrc_fibers_tonne",12037
3,"Argentina","net_imports_agrc_fibers_tonne",-42416
4,"Argentina","net_imports_agrc_fibers_tonne",-16669
5,"Argentina","net_imports_agrc_fibers_tonne",-27132
6,"Argentina","net_imports_agrc_fibers_tonne",-24764
7,"Argentina","net_imports_agrc_fibers_tonne",-29727
8,"Argentina","net_imports_agrc_fibers_tonne",-33473
0,"Argentina","net_imports_agrc_fruits_tonne",0
1,"Argentina","net_imports_agrc_fruits_tonne",10701916
2,"Argentina","net_imports_agrc_fruits_tonne",-8411974
3,"Argentina","net_imports_agrc_fruits_tonne",1439642
4,"Argentina","net_imports_agrc_fruits_tonne",-2138361
5,"Argentina","net_imports_agrc_fruits_tonne",-689347
6,"Argentina","net_imports_agrc_fruits_tonne",-1431194
7,"Argentina","net_imports_agrc_fruits_tonne",-1353436
8,"Argentina","net_imports_agrc_fruits_tonne",-1693952
0,"Argentina","net_imports_agrc_maize_tonne",0
1,"Argentina","net_imports_agrc_maize_tonne",-13377
2,"Argentina","net_imports_agrc_maize_tonne",36294
3,"Argentina","net_imports_agrc_maize_tonne",-158062
4,"Argentina","net_imports_agrc_maize_tonne",-76542
5,"Argentina","net_imports_agrc_maize_tonne",-124997
6,"Argentina","net_imports_agrc_maize_tonne",-136430
7,"Argentina","net_imports_agrc_maize_tonne",-187321
8,"Argentina","net_imports_agrc_maize_tonne",-259451
0,"Argentina","net_imports_agrc_nuts_tonne",0
1,"Argentina","net_imports_agrc_nuts_tonne",185315
2,"Argentina","net_imports_agrc_nuts_tonne",-145453
3,"Argentina","net_imports_agrc_nuts_tonne",25388
4,"Argentina","net_imports_agrc_nuts_tonne",-36568
5,"Argentina","net_imports_agrc_nuts_tonne",-11357
6,"Argentina","net_imports_agrc_nuts_tonne",-24053
7,"Argentina","net_imports_agrc_nuts_tonne",-22501
8,"Argentina","net_imports_agrc_nuts_tonne",-28104
0,"Argentina","net_imports_agrc_oil_bearing_tonne",0
1,"Argentina","net_imports_agrc_oil_bearing_tonne",187225
2,"Argentina","net_imports_agrc_oil_bearing_tonne",-147890
3,"Argentina","net_imports_agrc_oil_bearing_tonne",23609
4,"Argentina","net_imports_agrc_oil_bearing_tonne",-39019
5,"Argentina","net_imports_agrc_oil_bearing_tonne",-14098
6,"Argentina","net_imports_agrc_oil_bearing_tonne",-27632
7,"Argentina","net_imports_agrc_oil_bearing_tonne",-27031
8,"Argentina","net_imports_agrc_oil_bearing_tonne",-34087
0,"Argentina","net_imports_agrc_pulses_tonne",0
1,"Argentina","net_imports_agrc_pulses_tonne",53082
